 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  4.90E-03   4.64E-04   8.02E-05   8.01E-05
  5.01E-03   4.46E-04   7.67E-05   7.66E-05
  5.13E-03   4.28E-04   7.34E-05   7.33E-05
  5.25E-03   4.12E-04   7.03E-05   7.02E-05
  5.37E-03   3.96E-04   6.73E-05   6.73E-05
  5.50E-03   3.81E-04   6.45E-05   6.45E-05
  5.62E-03   3.67E-04   6.19E-05   6.18E-05
  5.75E-03   3.53E-04   5.93E-05   5.93E-05
  5.89E-03   3.40E-04   5.70E-05   5.69E-05
  6.03E-03   3.28E-04   5.47E-05   5.46E-05
  6.17E-03   3.16E-04   5.25E-05   5.25E-05
  6.31E-03   3.05E-04   5.04E-05   5.04E-05
  6.46E-03   2.94E-04   4.84E-05   4.84E-05
  6.61E-03   2.84E-04   4.66E-05   4.65E-05
  6.76E-03   2.74E-04   4.47E-05   4.47E-05
  6.92E-03   2.64E-04   4.30E-05   4.30E-05
  7.08E-03   2.55E-04   4.14E-05   4.13E-05
  7.24E-03   2.46E-04   3.98E-05   3.97E-05
  7.41E-03   2.37E-04   3.82E-05   3.82E-05
  7.59E-03   2.29E-04   3.68E-05   3.67E-05
  7.76E-03   2.21E-04   3.53E-05   3.53E-05
  7.94E-03   2.13E-04   3.40E-05   3.40E-05
  8.13E-03   2.06E-04   3.27E-05   3.27E-05
  8.32E-03   1.99E-04   3.14E-05   3.14E-05
  8.51E-03   1.92E-04   3.02E-05   3.02E-05
  8.71E-03   1.85E-04   2.90E-05   2.90E-05
  8.91E-03   1.78E-04   2.79E-05   2.79E-05
  9.12E-03   1.72E-04   2.68E-05   2.68E-05
  9.33E-03   1.66E-04   2.57E-05   2.57E-05
  9.55E-03   1.60E-04   2.47E-05   2.47E-05
  9.77E-03   1.54E-04   2.37E-05   2.37E-05
  1.00E-02   1.48E-04   2.28E-05   2.27E-05
  1.02E-02   1.43E-04   2.20E-05   2.20E-05
  1.05E-02   1.37E-04   2.13E-05   2.13E-05
  1.07E-02   1.33E-04   2.07E-05   2.07E-05
  1.10E-02   1.28E-04   2.00E-05   2.00E-05
  1.12E-02   1.23E-04   1.94E-05   1.94E-05
  1.15E-02   1.19E-04   1.89E-05   1.89E-05
  1.17E-02   1.15E-04   1.83E-05   1.83E-05
  1.20E-02   1.11E-04   1.78E-05   1.78E-05
  1.23E-02   1.07E-04   1.73E-05   1.73E-05
  1.26E-02   1.04E-04   1.68E-05   1.68E-05
  1.29E-02   1.00E-04   1.63E-05   1.63E-05
  1.32E-02   9.70E-05   1.59E-05   1.59E-05
  1.35E-02   9.38E-05   1.54E-05   1.54E-05
  1.38E-02   9.07E-05   1.50E-05   1.50E-05
  1.41E-02   8.77E-05   1.46E-05   1.46E-05
  1.45E-02   8.48E-05   1.42E-05   1.42E-05
  1.48E-02   8.20E-05   1.38E-05   1.38E-05
  1.51E-02   7.93E-05   1.34E-05   1.34E-05
  1.55E-02   7.66E-05   1.30E-05   1.30E-05
  1.58E-02   7.41E-05   1.27E-05   1.27E-05
  1.62E-02   7.16E-05   1.23E-05   1.23E-05
  1.66E-02   6.92E-05   1.20E-05   1.20E-05
  1.70E-02   6.68E-05   1.16E-05   1.16E-05
  1.74E-02   6.45E-05   1.13E-05   1.13E-05
  1.78E-02   6.23E-05   1.10E-05   1.10E-05
  1.82E-02   6.01E-05   1.07E-05   1.06E-05
  1.86E-02   5.80E-05   1.03E-05   1.03E-05
  1.91E-02   5.60E-05   1.00E-05   1.00E-05
  1.95E-02   5.40E-05   9.73E-06   9.72E-06
  2.00E-02   5.20E-05   9.43E-06   9.42E-06
  2.04E-02   5.01E-05   9.14E-06   9.13E-06
  2.09E-02   4.83E-05   8.86E-06   8.85E-06
  2.14E-02   4.65E-05   8.58E-06   8.57E-06
  2.19E-02   4.48E-05   8.30E-06   8.29E-06
  2.24E-02   4.31E-05   8.04E-06   8.03E-06
  2.29E-02   4.15E-05   7.78E-06   7.77E-06
  2.34E-02   3.99E-05   7.52E-06   7.51E-06
  2.40E-02   3.83E-05   7.27E-06   7.26E-06
  2.45E-02   3.68E-05   7.03E-06   7.02E-06
  2.51E-02   3.54E-05   6.79E-06   6.78E-06
  2.57E-02   3.40E-05   6.56E-06   6.55E-06
  2.63E-02   3.27E-05   6.34E-06   6.33E-06
  2.69E-02   3.14E-05   6.12E-06   6.11E-06
  2.75E-02   3.01E-05   5.91E-06   5.90E-06
  2.82E-02   2.89E-05   5.70E-06   5.69E-06
  2.88E-02   2.77E-05   5.50E-06   5.49E-06
  2.95E-02   2.66E-05   5.31E-06   5.30E-06
  3.02E-02   2.56E-05   5.12E-06   5.12E-06
  3.09E-02   2.45E-05   4.94E-06   4.94E-06
  3.16E-02   2.35E-05   4.77E-06   4.76E-06
  3.24E-02   2.25E-05   4.54E-06   4.53E-06
  3.31E-02   2.14E-05   4.29E-06   4.28E-06
  3.39E-02   2.02E-05   4.04E-06   4.03E-06
  3.47E-02   1.91E-05   3.80E-06   3.80E-06
  3.55E-02   1.81E-05   3.58E-06   3.58E-06
  3.63E-02   1.72E-05   3.40E-06   3.39E-06
  3.72E-02   1.64E-05   3.23E-06   3.23E-06
  3.80E-02   1.58E-05   3.09E-06   3.09E-06
  3.89E-02   1.52E-05   2.97E-06   2.97E-06
  3.98E-02   1.47E-05   2.86E-06   2.86E-06
  4.07E-02   1.43E-05   2.77E-06   2.76E-06
  4.17E-02   1.39E-05   2.68E-06   2.68E-06
  4.27E-02   1.35E-05   2.60E-06   2.59E-06
  4.37E-02   1.31E-05   2.52E-06   2.52E-06
  4.47E-02   1.28E-05   2.44E-06   2.44E-06
  4.57E-02   1.24E-05   2.37E-06   2.37E-06
  4.68E-02   1.21E-05   2.31E-06   2.30E-06
  4.79E-02   1.18E-05   2.24E-06   2.24E-06
  4.90E-02   1.15E-05   2.18E-06   2.17E-06
  5.01E-02   1.12E-05   2.12E-06   2.11E-06
  5.13E-02   1.09E-05   2.06E-06   2.05E-06
  5.25E-02   1.06E-05   2.00E-06   2.00E-06
  5.37E-02   1.03E-05   1.95E-06   1.94E-06
  5.50E-02   1.01E-05   1.89E-06   1.89E-06
  5.62E-02   9.83E-06   1.84E-06   1.84E-06
