 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.25E-02   2.14E-04   1.27E-07   2.82E-11   3.90E-13   1.53E-13
   Max.:          3.25E+02   6.38E+00   3.08E-02   1.86E-06   7.23E-08   1.45E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   -30     -29    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -29     -28    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -28     -27    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -27     -26    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -26     -25    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -25     -24    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -24     -23    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -23     -22    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -22     -21    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -21     -20    1.71E+02   3.51E+00   1.05E-02   9.66E-07   3.32E-08   6.80E-09
   -20     -19    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -19     -18    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -18     -17    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -17     -16    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -16     -15    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -15     -14    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -14     -13    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -13     -12    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -12     -11    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -11     -10    2.72E+02   5.46E+00   1.65E-02   1.86E-06   6.44E-08   1.19E-08
   -10      -9    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -9      -8    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -8      -7    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -7      -6    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -6      -5    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -5      -4    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -4      -3    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -3      -2    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
    -2      -1    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
