 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  4.27E-02   5.67E-06   1.40E-06   1.40E-06
  4.37E-02   5.55E-06   1.37E-06   1.36E-06
  4.47E-02   5.43E-06   1.33E-06   1.33E-06
  4.57E-02   5.31E-06   1.30E-06   1.30E-06
  4.68E-02   5.20E-06   1.27E-06   1.27E-06
  4.79E-02   5.10E-06   1.24E-06   1.24E-06
  4.90E-02   4.99E-06   1.21E-06   1.21E-06
  5.01E-02   4.89E-06   1.18E-06   1.18E-06
  5.13E-02   4.79E-06   1.16E-06   1.15E-06
  5.25E-02   4.70E-06   1.13E-06   1.13E-06
  5.37E-02   4.61E-06   1.10E-06   1.10E-06
  5.50E-02   4.52E-06   1.08E-06   1.08E-06
  5.62E-02   4.44E-06   1.06E-06   1.06E-06
  5.75E-02   4.35E-06   1.04E-06   1.03E-06
  5.89E-02   4.27E-06   1.01E-06   1.01E-06
  6.03E-02   4.20E-06   9.94E-07   9.92E-07
  6.17E-02   4.12E-06   9.75E-07   9.72E-07
  6.31E-02   4.05E-06   9.56E-07   9.54E-07
  6.46E-02   3.98E-06   9.38E-07   9.36E-07
  6.61E-02   3.91E-06   9.20E-07   9.18E-07
  6.76E-02   3.85E-06   9.04E-07   9.02E-07
  6.92E-02   3.78E-06   8.88E-07   8.86E-07
  7.08E-02   3.72E-06   8.73E-07   8.71E-07
  7.24E-02   3.66E-06   8.58E-07   8.56E-07
  7.41E-02   3.60E-06   8.44E-07   8.42E-07
  7.59E-02   3.55E-06   8.30E-07   8.28E-07
  7.76E-02   3.49E-06   8.17E-07   8.15E-07
  7.94E-02   3.44E-06   8.05E-07   8.03E-07
  8.13E-02   3.39E-06   7.93E-07   7.91E-07
  8.32E-02   3.34E-06   7.81E-07   7.80E-07
  8.51E-02   3.29E-06   7.71E-07   7.69E-07
  8.71E-02   3.25E-06   7.60E-07   7.58E-07
  8.91E-02   3.20E-06   7.50E-07   7.48E-07
  9.12E-02   3.16E-06   7.40E-07   7.39E-07
  9.33E-02   3.12E-06   7.31E-07   7.30E-07
  9.55E-02   3.08E-06   7.22E-07   7.21E-07
  9.77E-02   3.04E-06   7.14E-07   7.12E-07
  1.00E-01   3.00E-06   7.06E-07   7.04E-07
  1.02E-01   2.96E-06   6.93E-07   6.92E-07
  1.05E-01   2.92E-06   6.80E-07   6.79E-07
  1.07E-01   2.89E-06   6.68E-07   6.66E-07
  1.10E-01   2.85E-06   6.55E-07   6.54E-07
  1.12E-01   2.81E-06   6.42E-07   6.41E-07
  1.15E-01   2.77E-06   6.30E-07   6.29E-07
  1.17E-01   2.73E-06   6.17E-07   6.16E-07
  1.20E-01   2.69E-06   6.05E-07   6.04E-07
  1.23E-01   2.65E-06   5.93E-07   5.92E-07
  1.26E-01   2.62E-06   5.81E-07   5.80E-07
  1.29E-01   2.58E-06   5.69E-07   5.68E-07
  1.32E-01   2.54E-06   5.58E-07   5.56E-07
  1.35E-01   2.50E-06   5.46E-07   5.45E-07
  1.38E-01   2.47E-06   5.35E-07   5.34E-07
  1.41E-01   2.43E-06   5.23E-07   5.22E-07
  1.45E-01   2.39E-06   5.12E-07   5.11E-07
  1.48E-01   2.36E-06   5.01E-07   5.01E-07
  1.51E-01   2.32E-06   4.91E-07   4.90E-07
  1.55E-01   2.29E-06   4.80E-07   4.80E-07
  1.58E-01   2.25E-06   4.70E-07   4.69E-07
  1.62E-01   2.22E-06   4.60E-07   4.59E-07
  1.66E-01   2.18E-06   4.50E-07   4.49E-07
  1.70E-01   2.15E-06   4.40E-07   4.40E-07
  1.74E-01   2.12E-06   4.31E-07   4.30E-07
  1.78E-01   2.08E-06   4.22E-07   4.21E-07
  1.82E-01   2.05E-06   4.13E-07   4.12E-07
  1.86E-01   2.02E-06   4.04E-07   4.03E-07
  1.91E-01   1.99E-06   3.95E-07   3.95E-07
  1.95E-01   1.96E-06   3.87E-07   3.86E-07
  2.00E-01   1.93E-06   3.79E-07   3.78E-07
  2.04E-01   1.91E-06   3.71E-07   3.70E-07
  2.09E-01   1.88E-06   3.63E-07   3.62E-07
  2.14E-01   1.85E-06   3.55E-07   3.55E-07
  2.19E-01   1.83E-06   3.48E-07   3.48E-07
  2.24E-01   1.80E-06   3.41E-07   3.40E-07
  2.29E-01   1.78E-06   3.34E-07   3.34E-07
  2.34E-01   1.75E-06   3.27E-07   3.27E-07
  2.40E-01   1.73E-06   3.21E-07   3.20E-07
  2.45E-01   1.71E-06   3.15E-07   3.14E-07
  2.51E-01   1.68E-06   3.08E-07   3.08E-07
  2.57E-01   1.66E-06   3.03E-07   3.02E-07
  2.63E-01   1.64E-06   2.97E-07   2.97E-07
  2.69E-01   1.62E-06   2.91E-07   2.91E-07
  2.75E-01   1.61E-06   2.86E-07   2.86E-07
  2.82E-01   1.59E-06   2.81E-07   2.81E-07
  2.88E-01   1.57E-06   2.76E-07   2.76E-07
  2.95E-01   1.56E-06   2.71E-07   2.71E-07
  3.02E-01   1.54E-06   2.67E-07   2.67E-07
  3.09E-01   1.53E-06   2.63E-07   2.62E-07
  3.16E-01   1.51E-06   2.58E-07   2.58E-07
  3.24E-01   1.50E-06   2.56E-07   2.55E-07
  3.31E-01   1.49E-06   2.53E-07   2.53E-07
  3.39E-01   1.47E-06   2.50E-07   2.50E-07
  3.47E-01   1.46E-06   2.48E-07   2.47E-07
  3.55E-01   1.45E-06   2.45E-07   2.45E-07
  3.63E-01   1.44E-06   2.42E-07   2.42E-07
  3.72E-01   1.43E-06   2.40E-07   2.40E-07
